"presup_id","presup_numero","presup_fecha_creacion","cliente_rut","presup_detalle","presup_neto_uf","presup_iva_uf","presup_total_uf","presup_neto_clp","presup_iva_clp","presup_total_clp","presup_enviado","presup_fecha_envio","presup_adjudicada","presup_oc_cliente","estatus_codigo","area_codigo"
"46","20200042","2020-08-31","83156400","Bosquejo Modificación Planos Hidraulicos Banco Komatsu Antogastas / Santiago","0","0","0","143458","27257.02","170715.02","1","2020-08-31","1","11810129","3","2"
"47","20200043","2020-09-08","83156400","Modificacion Bosquejo RP 2020_0042","0","0","0","14344","2725.36","17069.36","1","2020-09-14","1","11810122","3","2"
"48","20200044","2020-09-15","79775100","Equipo Sistema Anticolisión Bulldozer","0","0","0","3093980","587856.2","3681836.2","1","2020-09-28","1","14672","3","1"
"49","20200045","2020-09-15","76406396","Asesoria Prevencionista","0","0","0","401776","76337.44","478113.44","1","2020-09-21","1","0","3","4"
"50","20200046","2020-09-16","83156400","Visita Tecnica Estructural Komatsu","0","0","0","182552","34684.88","217236.88","1","2020-11-06","1","11810289","3","2"
"51","20200047","2020-09-24","76764668","Desarrollo Estación Meteorológica","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"52","20200048","2020-09-30","76286468","HPU 7.5 kW","0","0","0","4809951","913890.69","5723841.69","1","2020-09-30","1","0","5","2"
"53","20200049","2020-09-30","83156400","Banco de Pruebas Auxiliar","0","0","0","2734987","519647.53","3254634.53","1","0000-00-00","0","0","5","2"
"54","20200050","2020-10-02","79775100","Suministro Materiales Camara Proy Sagrada Familia","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"55","20200051","2020-11-04","83156400","Modificacion HPU Diesel A Electrica","0","0","0","1587375","301601.25","1888976.25","0","0000-00-00","0","0","5","2"
"56","20200052","2020-11-06","83156400","Estudio Mecanico Prensa","0","0","0","299979","56996.01","356975.01","1","2020-12-29","1","11810471","3","2"
"57","20200053","2020-11-09","83156400","Bosquejo RP 51","0","0","0","320000","60800","380800","0","0000-00-00","0","0","5","2"
"58","20200054","2020-11-24","83156400","PLANIMETRÍA PARA LA MODIFICACIÓN DEL BANCO DE PRUEBAS KOMATSU – SANTIAGO","0","0","0","2610270","495951.3","3106221.3","1","2020-11-26","1","11810380","2","2"
